Name,Place ID,Formatted Address,Category,rating,total_reviews,Price Level,Review Text,rating_normalized,reviews_normalized,score,rank,One_Keywords
Cafe Sawah Pujonkidul,ChIJr0WKPtGHeC4Rj4h53gHeeI4,"Kawasan Cafe Sawah, Desa Wisata, Krajan, Pujon Kidul, Kec. Pujon, Kabupaten Malang, Jawa Timur 65391, Indonesia","tourist_attraction, cafe, amusement_park, park, restaurant, food, point_of_interest, establishment",4.5,17274,1.0,"Cafe Sawah Pujon Kidul is one of the cafes located in the Pujon area. This cafe is close to residential areas. Here there are various kinds of food and drinks at low prices. In addition, in this cafe there are also rides for games for children, teenagers and adults. Beautiful scenery and cool weather make people who visit the cafe enjoy the atmosphere there more. The car park here is wide, but tourists who use buses must use a motorcycle taxi service to go to the location, because the parking lot is quite far from the location. Apart from that, there tourists can bring souvenirs such as vegetables, fruit, fresh milk and others because there is a market available for shopping.

Great atmosphere, this place for city folks who doesn't connect to the nature on everyday life. Good place for eating some snacks and talks. They have guide to show the place around. This cafe managed by locals. The access to this is through the locals street so be careful when you go there cause there's kids on the road that play around. They have Guest house on this cafe.
The only downside here is that they play music from the speaker. For people like me who works in the city pak enjoying the silence of nature is better than some bad sound from speaker.

it such wonderful and peaceful place for you having holiday with family and friends. we can enjoy the beautiful scenery of the farming field and having snacks in the middle of farm. we can also buy directly from the farm of vegetables that are harvested 🥰

Overall the cafe sawah itself is ok. Nice view. Service could be improved for better.
Rather difficult to order and take long time to get the food we order. Taste is standard. Ambience is ok. They also have rooftop area. There are some spots to take a picture (perhaps this is its USP Unique selling proposition).

Price is affordable, eventhough some visitors say the price is expensive.
If you want to go here just for eating, you will be disappointed because it is located inside village tourism area so that to enter/reach the restaurant, you have to pay ticket in the locket (12,5K/person) and parking (10k for car).
Payment : cash in major.

Pujon Kidul Sawah Cafe is a tourist spot in Malang that combines Instagramable tourist attractions with a natural atmosphere and typical rural culinary offerings.
.
As the name implies, this Pujon Kidul Sawah Cafe in Malang offers a wide green rice field landscape that is refreshing to the eyes.
.
At Cafe Sawah Pujon Kidul you can also eat a variety of grown-up cuisines ranging from vegetable soup, vegetable lodeh, stir-fried long beans, urap-urap and many other dishes.
.
Entrance ticket is only Rp. 15,000, we can already enjoy the views and Instagramable spots.
What are you waiting for.. let's visit this place.. highly recommended!!",0.875,1.0,0.92875,1,"cafes, pujon, sawah, enjoying, children, motorcycle, downside, atmosphere, implies, 10k"
Filosofi Kopi Jogja,ChIJvb0GwNhYei4R1QHPGGdxI_A,"Jl. Pandhawa No.001/17, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia","cafe, food, store, point_of_interest, establishment",4.5,10643,2.0,"Enak. Very good coffee, quite possibly one of the best in town, worth the hype. Must go for double shot if you're ordering espresso. Single shot only if you cannot tolerate coffee.

This place has a strong traditional Javanese vibe to it. Not perfect for working, as it prioritizes on the cozy but great for social hangouts or couple trips.

Very good experience! You can enjoy tasty coffee and another drinks & foods here but don't be surprised coz the price is more expensive than other cafe on it's level.
But... Don't worry coz u will experience quite & locally vibes here, the place is sooo large and many choices for seat & ambiance you prefer.

Unfortunately, this natural vibe isn't consistent because of how they served drink. Just many of their menu are served with single use plastic glass, straws, & etc. Hopefully they will upgrade the service & packaging with more sustainable services 🍀🏞️🌍

A big place, joglo style. It is expensive considering Jogja standard. The coffee is around 38-45k. The place can be hot due to lack of airflow somehow. One of the staff was smoking heavily and the smoke blew to our table. The chairs are not comfortable. Internet connection is not too good either, I got disconnected often from Zoom.

Good coffee, well snack, enjoy the ambience. If you want to meet your friend and have a nice conversation, you can go to this place. There are some facilities like park field, musholla and toilet.

Came here because It was on the movie ...
The vibe was alright.
The food was good and incredibly cheap.
Spent almost the entire evening there.
Had a prayer in the musholla, need more cleaning on that department.",0.875,0.6161060614832398,0.7636756064377931,2,"cafe, ambience, joglo, enak, tolerate, upgrade, isnt, couple, packaging, prioritizes"
Rolag Kopi Karah,ChIJz1fUqZz71y0RO2ejmZDoIQI,"Jl. Karah No.6, Karah, Kec. Jambangan, Surabaya, Jawa Timur 60232, Indonesia","cafe, restaurant, food, point_of_interest, establishment",4.3,11460,,"Coffee ⭐⭐⭐⭐
So many variants, find your favorite one

Food⭐⭐⭐
The taste is so so, especially for foods with rice

Snack⭐⭐⭐⭐
I ordered tahu bakso, it surprised me, is is seasoned by dry spice, the spice elevates the flavor

Service⭐⭐⭐⭐
Good hospitality even though you need to patiently wait

Atmosphere⭐⭐⭐⭐
So many improvements for the last 5 years, they have music performance with good quality speakers

Parking lots⭐⭐⭐⭐⭐
Don't worry about space, it fits more than 8-10 cars, they have different access for entrance and exit

Really good exerience, you can enjoy your life in here, talk with your friends, family, girlfriend good.
The services are good in here dont be worry with the service
This place deserve better

great place to gather with friends till late night. this place provides good coffee.

Strategic location, good for leisure, cheap and tasty, but a lot of mosquitos.

Love the ambiance ❤️ good place if you want to catch up with ur friends",0.825,0.6634053146529265,0.7555142853007584,3,"coffee, tahu, quality, seasoned, leisure, mosquitos, ambiance, enjoy, dont, especially"
BONCAFE RAYA GUBENG,ChIJHdhrVsj71y0RNwXC8yrtS_c,"Jl. Raya Gubeng No.46, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281, Indonesia","cafe, restaurant, food, point_of_interest, establishment",4.7,6114,2.0,"A well known restaurant for Surabaya citizens. Serving Indonesian, Italian, Western food. They are well known for the steak but the other dishes still could be added up to your preference. The food is well prepared and tastes good as well. Looks simple but flavour sufficient enough to please your appetite.

Price wise moderate to expensive.

The taste and the variety of food, as well as the service are absolutely no doubt and I would say a recommended place to go. The main food that is offer in here is steak-based, from beef, chicken, lamb, and fish. There is also kids menu over here. The portion and the price is proportional. It is good when you want to invite your whole family to have food together.

The service is so fast by the mean the serving time. The place is so comfy and there is outdoor area. The health protocol is properly conducted by the staff that alway make sure everyone check in with pedulilindungi application. The parking is large enough especially for car.

This time I will tell you about my favourite food. That is fried rice. In my opinion, fried rice is everyone’s favourite food. Because fried rice can be eaten anytime and anywhere.

For example, at breakfast. Based on its history, fried rice comes from the bamboo curtain country, China. People used to cook fried rice because they didn’t want to throw away yesterday’s leftover rice. So that the rice is reprocessed with spices to make it more delicious.

However, over time, fried rice is made without the need to leave yesterday’s leftover rice. Because there are more and more fried rice traders who have quality taste. In addition, variations of fried rice are also increasingly diverse.

I like fried rice, because in addition to the delicious taste, this food can be eaten in various situations. Perfect for breakfast, but also perfect for dinner. And there’s nothing wrong if you enjoy it during the day.

I like Aceh fried rice the most. Although fried rice does not come from Aceh, the taste of Aceh fried rice is very distinctive. Some traders mix cinnamon, and some Indonesian spices.

Splurge, refined and sumptuous are three words that help wrap up all the dining-in experience I had in this legendary steakhouse. Its freshly prepared classical steak sauce is unmatched. It manages to balance the sweetness, the saltiness of the ingredients to give rise to the distinguished flavor and delicate aftertaste. It pleases the palates, becomes the most sought-after sauce that makes this steakhouse stand out of the rest.

it was my late dinner in their last order but the service still great and the food was delish ! thank you, definitely will come back 🔥🔥🔥",0.925,0.3539049383430788,0.6794291234875238,4,"restaurant, surabaya, bamboo, application, opinion, soughtafter, splurge, comfy, anytime, proportional"
Cafe Brick,ChIJR7S1SxZZei4RYO8IQJspIjc,"Jl. Damai No.8, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia","cafe, restaurant, store, point_of_interest, food, establishment",4.4,7458,2.0,"Alhamdulillah,  I've got the best experience when I was there, the vibe is very comfortable, the interior is like the city of London with lots of old stuff.

My son loved to be able to play with these things.  the food choices are diverse and unique, the taste of the food is very good, although it looks like the portion is small, but it makes you very full. the waiters are very friendly and most importantly the price is affordable!

I was very impressed when the food I ate wasn't what I ordered (because I didn't know it wasn't what I ordered, because I've never eaten it before, but it's still delicious) they replaced it with the right one for free. Thank you!

It looks good from the outside but the service and food is terrible. Cold eggs, cold beans, cold bread. We were told to get up from our table to order two English breakfasts, why can this not be done at the table?

I do not recommend.

Love the ambience here. It feels warm and cozy, the food tastes good too.

I utterly disappointed with this place. The only selling point about this place is if you want to look a proper selfie place. I ordered a manual brew coffe, a dragonfruit smoothie, and an avocado juice. The verdict is as follows :
Cofee = 3.5/5 adequate aroma not that strong
Dragonfruit smoothie= 2/5 too watery, bland
Avocado juice=1/5 don't order this at all
And one more thing, you should carry enough cash because this place doesn't accept any form of payment beside cash.

Nice place if u need work space , i think this a good solution cause in here u get feel homey and staff care to u . Must try salted charamel coffee she staff say  homade salted charamel . Thanks for drink so yummy.",0.8500000000000001,0.431714236091009,0.6701371215191338,5,"smoothie, bread, ambience, affordable, alhamdulillah, cofee, place, diverse, utterly, got"
Loko Coffee Shop Malioboro Yogyakarta,ChIJ0YNPCoZZei4R7XSUCANUsnw,"Komp. Ps. Kembang, Jl. Ps. Kembang, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271, Indonesia","cafe, store, food, point_of_interest, establishment",4.5,6488,2.0,"the place is cool, you can see the train that passes next to the cafe. it is located just before the Malioboro shear crossing. it's cooler if it's raining, adding to the comfortable impression here

Enjoying my iced matcha latte with a view of train station, before I caught my train for a while. It's so close with the railways, so be careful.

The matcha latte, unfortunately, is too sweet for me. Seemed like it had more milk than the matcha itself.

It's really hot in the day. Better come here in the afternoon or evening, because there's no AC. Fan only

This is a must to visit! You sit right by the train tracks in bench seats. If you like some pour over coffee, please order their V60 from the Temanggung area - it is a striking beauty.
The staff is fantastic. We ordered three different V60 for a tasting and look at what they did in the picture...

PANDA LOVES AND URGES YOU ALL TO VISIT

Nice place for a short break and enjoy yogya tranquility.. located right next to yogya train station, decent food but a bit pricey for yogya standard.

Sadly it’s smoking in every place. Non recommended for family with kids

Atmosphere is great as well as the coffee. The place is clean and comfortable. There is a mosque. Most importantly, you can enjoy the bustling traffic.",0.875,0.3755572280437677,0.6602396080588201,6,"cafe, railways, malioboro, yogya, tranquility, enjoy, temanggung, pricey, ac, raining"
Cokelat Klasik Cafe,ChIJs-OQ8T-CeC4R4g4SvDay89c,"Jalan Joyo Agung, Merjosari, Lowokwaru, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, point_of_interest, establishment",4.4,6741,2.0,"A cozy place for hangout with friends and family. It will look nicer at evening time when the lights are up. Food taste is good but portion is small. Numerous choices of food. Chocolate beverages are mostly recommended. Pricing is ok. Moderate service. Wifi is available but not so good. Spacious parking space.

Nice place for family, average taste of foods, friendly staff but they need to give attention for food equipments (glass etc). As the place in Highland... Time to inhale fresh air here, enjoy their green garden and small farm

I like this place because the food and drink was delicious and cheaper than another restaurant, the scenery was great its a combination between nature and modern you can look at my photos here. I'm sorry i don't have the pic of food bcs i forget to take of the pic but this place was serving the food n drink very good. It's recommended👍

Chillin place even when its crowded. Defitely must go place to hang out. Recommended place for student/young people

The place is nice, drink and food is delicious. Best place for hanging out with friends or families 👌",0.8500000000000001,0.3902043651942338,0.6522878770335205,7,"restaurant, cozy, highland, garden, pic, cheaper, wifi, inhale, average, defitely"
NK Cafe,ChIJCYHig8OBeC4R2Hs5CtUxoAQ,"Jl. Raya Kasin, Kasin, Ampeldento, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152, Indonesia","cafe, restaurant, point_of_interest, food, establishment",4.5,6053,2.0,"Good and big sized food portions, medium price, good atmosphere, live music, they create the place very detail, with rice field in the middle of the cafe....giving such a good vibes...also..theres playground for kiddos...perfect

Definitely love the ambient,.. with a touch of Bali vibe.. clean and the staffs are helpfull, the Musholla is quite big and comfortable.. the prices inexpensive... ah ya.. we also enjoy the music and sax..

Everything is good. Food is nice, Accessible, nice weather! Nice view. Came here in the evening, should been super nice in the afternoon. Definitely will revisit.

I stayed one night and spend the whole time around NK Cafe. The food was superb, the staff are friendly, the air was cool, great place to spend time with family. There is jacuzzi in the villa, the rooms are fully equipped with amenities. NK also offers variety of activities such as coffee roasting education, gardening and veggie picking which is also safe to directly to be eaten.
One thing I have to mention is safety-ness of the area during rain. Overall, I had great experience here, well done NK!

good place, good food, good mood.. there' s waterpark and flying fox attraction for kids.. this place is so easy to find..",0.875,0.3503734151566028,0.6494105685173391,8,"bali, amenities, cafegiving, villa, ambient, musholla, gardening, nk, enjoy, definitely"
Bukit Delight,ChIJX4t2sj6CeC4REWeMG4msylc,"Jl. Joyo Agung No.1, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","restaurant, cafe, store, food, point_of_interest, establishment",4.5,5333,2.0,"A romantic cafe with indoors and outdoor designed location, located on the hill near bukit tidar residence. Varieties of drinks from coffee, gelatos, tea, vanilla. Snacks and food available too. On top of that there are varieties of games to play, like UNO and also Billiard. You’ll be given a half hour to play if your order surpassed 100k, just directly ask the cashier you’ll leave your ktp and being given the necessities.

Cozy place for millenials, food taste were range from 2 to 4 stars, slow response service. Bunga Telang Tea was good.

If you want to bring your family or just hanging out with your friends but you have tight budget, this place may be suitable with your pocket. It offers warm and pleasant ambience, a selected amount of light dishes and affordable price. It comes to my astonishment that they offer a quite tasty meal but cheaper than any other restaurants or cafes. Good job!

nice place, you can get fresh air n good view there. Recomended place for hangout with friends or couple to spend time in afternoon. There are some less tasty foods and beverage in my opinion like you know sausages in noodle menu and traditional drinks ""rempah-rempah"" the taste less good,but over all is okay...

Very cozy and instagram-able place! I guess mostly 'Kera ngalam' (Malang's youth people) knowed this place, because i got the recommendation from my friend in Malang.

The place are very big and wide. Its near from UMM (Universitas Muhammadiyah Malang) campus. There's outdoor&indoor suite room. For you who loves nature vibes, the outside suite room is really high recommended to chosen.

For the menu, there are a lot of food and beverages popular menu, such as 'Pisang Gigit', 'Roti Bakar', 'Hot Chocolate', 'Coffe beer'. I like the 'Kapiten Coffe Beer', you can drunk that beverages safety because its 0% alcohol even using beer as the mixed beverages with coffe. The taste is delicious also.

I gave 5 star without doubtfull, and i highly recommended you guys to visit this place with your friend for hangin' out when you're visiting Malang City!~",0.875,0.3086898627916401,0.6314866410004052,9,"cafe, bukit, noodle, recomended, menu, outdoorindoor, rempahrempah, malangs, 100k, quite"
Pupuk Bawang Batu,ChIJPbsg-DeHeC4RBi5hNTH-rv0,"Jl. Panglima Sudirman No.116, Pesanggrahan, Kec. Batu, Kota Batu, Jawa Timur 55313, Indonesia","cafe, restaurant, food, point_of_interest, establishment",4.2,6542,2.0,"The place has a nice view and a nice feeling. I think the view will be better in the afternoon, because it has a field view right beside the cafe. The place is quite spacy
I think the place is more suitable for hanging out and snacking rather than dining even though they have a main course menu, and I heard that the sop buntut is delicious
The service is good and my food and drinks come rather quickly
The price range for food is 25-45k. The drinks are 10-25k. The taste is so so I think, it's not bad, but not really delicious, but I think I'll come here again in the future because of the ambience and views

Has the potential to accomodate your needs of place to hangout when you are coming with quite some nunber of people. The cafe offers various seating options.
Views are ok with the cellery farm and mountains as background.
Drinks and food were just so-so if compared with the price. Mind you they charge tax and services.
Note to management: Freshening up the building might be needed to keep up with the competition..

Lots of seat with open air and you can see the garden, ricefields also beautiful mountain view at the backyard, some food taste good, some other just ok...

Visited this restaurant with family. Beautiful scene on the back yard. Delicious menu available. Just like it, however need more smile from the staff. 😊

view good but not special. pricey. food quality : not tasty, fried duck - dried. ice cream so so.",0.8,0.3786834944711399,0.6188339026225901,10,"cafe, views, ambience, soso, menu, 2545k, compared, buntut, coming, yard"
