Name,Place ID,Formatted Address,Category,rating,total_reviews,Price Level,Review Text,rating_normalized,reviews_normalized,score,rank,Keywords
Cafe Sawah Pujonkidul,ChIJc357HEEp1i0R6hhXCd3R2ts,"Kawasan Cafe Sawah, Desa Wisata, Krajan, Pujon Kidul, Kec. Pujon, Kabupaten Malang, Jawa Timur 65391, Indonesia","tourist_attraction, cafe, amusement_park, park, restaurant, food, point_of_interest, establishment",4.5,17274,1.0,"Cafe Sawah Pujon Kidul is one of the cafes located in the Pujon area This cafe is close to residential areas Here there are various kinds of food and drinks at low prices In addition in this cafe there are also rides for games for children teenagers and adults Beautiful scenery and cool weather make people who visit the cafe enjoy the atmosphere there more The car park here is wide but tourists who use buses must use a motorcycle taxi service to go to the location because the parking lot is quite far from the location Apart from that there tourists can bring souvenirs such as vegetables fruit fresh milk and others because there is a market available for shopping

Great atmosphere this place for city folks who doesnt connect to the nature on everyday life Good place for eating some snacks and talks They have guide to show the place around This cafe managed by locals The access to this is through the locals street so be careful when you go there cause theres kids on the road that play around They have Guest house on this cafe
The only downside here is that they play music from the speaker For people like me who works in the city pak enjoying the silence of nature is better than some bad sound from speaker

it such wonderful and peaceful place for you having holiday with family and friends we can enjoy the beautiful scenery of the farming field and having snacks in the middle of farm we can also buy directly from the farm of vegetables that are harvested 

Overall the cafe sawah itself is ok Nice view Service could be improved for better
Rather difficult to order and take long time to get the food we order Taste is standard Ambience is ok They also have rooftop area There are some spots to take a picture perhaps this is its USP Unique selling proposition

Price is affordable eventhough some visitors say the price is expensive
If you want to go here just for eating you will be disappointed because it is located inside village tourism area so that to enterreach the restaurant you have to pay ticket in the locket 125Kperson and parking 10k for car
Payment  cash in major

Pujon Kidul Sawah Cafe is a tourist spot in Malang that combines Instagramable tourist attractions with a natural atmosphere and typical rural culinary offerings

As the name implies this Pujon Kidul Sawah Cafe in Malang offers a wide green rice field landscape that is refreshing to the eyes

At Cafe Sawah Pujon Kidul you can also eat a variety of grownup cuisines ranging from vegetable soup vegetable lodeh stirfried long beans urapurap and many other dishes

Entrance ticket is only Rp 15000 we can already enjoy the views and Instagramable spots
What are you waiting for lets visit this place highly recommended",0.875,1.0,0.9125,1,"implies pujon, area cafe, cafe downside, pujon kidul, cafe enjoy, located pujon, cafe rides, sawah pujon, cafe sawah, kidul cafes"
Baraka Coffee House,ChIJq57is0ODeC4RZW5fHdw01Og,"Jl. Watumujur II No.6, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, store, point_of_interest, food, establishment",5.0,1273,,"Lovely places to chill and hangout with your partner the beverages wasnt too sweet its just perfect The only downsids that this places wasnt large but it was a good place to having a date Definetly try it

Cozy place great coffee The barista is very friendly and passionate about coffee

nice place cute and affordable Near Universitas Brawijaya so perfect for university students

Good service and tasty food also nice atmosphere in the evening

Very nice spot to work and hangout affordable prices with good quality coffees ",1.0,0.073640942511434,0.7220922827534302,2,"hangout affordable, passionate coffee, cozy, nice place, places chill, quality coffees, barista friendly, brawijaya, brawijaya perfect, universitas brawijaya"
Baraka Coffee House,ChIJKeGHNPmDeC4RpngDicWuTiQ,"Jl. Watumujur II No.6, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, store, food, point_of_interest, establishment",5.0,1273,,"Lovely places to chill and hangout with your partner the beverages wasnt too sweet its just perfect The only downsids that this places wasnt large but it was a good place to having a date Definetly try it

Cozy place great coffee The barista is very friendly and passionate about coffee

nice place cute and affordable Near Universitas Brawijaya so perfect for university students

Good service and tasty food also nice atmosphere in the evening

Very nice spot to work and hangout affordable prices with good quality coffees ",1.0,0.073640942511434,0.7220922827534302,3,"hangout affordable, passionate coffee, cozy, nice place, places chill, quality coffees, barista friendly, brawijaya, brawijaya perfect, universitas brawijaya"
Baraka Coffee House,ChIJDWtI4LWDeC4RhU-dKq1FWqA,"Jl. Watumujur II No.6, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, point_of_interest, food, store, establishment",5.0,1273,,"Lovely places to chill and hangout with your partner the beverages wasnt too sweet its just perfect The only downsids that this places wasnt large but it was a good place to having a date Definetly try it

Cozy place great coffee The barista is very friendly and passionate about coffee

nice place cute and affordable Near Universitas Brawijaya so perfect for university students

Good service and tasty food also nice atmosphere in the evening

Very nice spot to work and hangout affordable prices with good quality coffees ",1.0,0.073640942511434,0.7220922827534302,4,"hangout affordable, passionate coffee, cozy, nice place, places chill, quality coffees, barista friendly, brawijaya, brawijaya perfect, universitas brawijaya"
Baraka Coffee House,ChIJp3XV6Ocp1i0RkO_kuwwhW68,"Jl. Watumujur II No.6, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, food, store, point_of_interest, establishment",5.0,1273,,"Lovely places to chill and hangout with your partner the beverages wasnt too sweet its just perfect The only downsids that this places wasnt large but it was a good place to having a date Definetly try it

Cozy place great coffee The barista is very friendly and passionate about coffee

nice place cute and affordable Near Universitas Brawijaya so perfect for university students

Good service and tasty food also nice atmosphere in the evening

Very nice spot to work and hangout affordable prices with good quality coffees ",1.0,0.073640942511434,0.7220922827534302,5,"hangout affordable, passionate coffee, cozy, nice place, places chill, quality coffees, barista friendly, brawijaya, brawijaya perfect, universitas brawijaya"
NK Cafe,ChIJy0O2dC4p1i0RxgAjuqRA5q4,"Jl. Raya Kasin, Kasin, Ampeldento, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65152, Indonesia","cafe, restaurant, point_of_interest, food, establishment",4.5,6053,2.0,"Good and big sized food portions medium price good atmosphere live music they create the place very detail with rice field in the middle of the cafegiving such a good vibesalsotheres playground for kiddosperfect

Definitely love the ambient with a touch of Bali vibe clean and the staffs are helpfull the Musholla is quite big and comfortable the prices inexpensive ah ya we also enjoy the music and sax

Everything is good Food is nice Accessible nice weather Nice view Came here in the evening should been super nice in the afternoon Definitely will revisit

I stayed one night and spend the whole time around NK Cafe The food was superb the staff are friendly the air was cool great place to spend time with family There is jacuzzi in the villa the rooms are fully equipped with amenities NK also offers variety of activities such as coffee roasting education gardening and veggie picking which is also safe to directly to be eaten
One thing I have to mention is safetyness of the area during rain Overall I had great experience here well done NK

good place good food good mood there s waterpark and flying fox attraction for kids this place is so easy to find",0.875,0.3503734151566028,0.7176120245469808,6,"equipped amenities, create place, food nice, amenities nk, kids place, cafegiving good, touch bali, jacuzzi villa, villa rooms, bali vibe"
Cokelat Klasik Cafe,ChIJA_4Ml0ODeC4RKO94MBZZ0vk,"Jalan Joyo Agung, Merjosari, Lowokwaru, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, point_of_interest, food, establishment",4.4,6741,2.0,"A cozy place for hangout with friends and family It will look nicer at evening time when the lights are up Food taste is good but portion is small Numerous choices of food Chocolate beverages are mostly recommended Pricing is ok Moderate service Wifi is available but not so good Spacious parking space

Nice place for family average taste of foods friendly staff but they need to give attention for food equipments glass etc As the place in Highland Time to inhale fresh air here enjoy their green garden and small farm

I like this place because the food and drink was delicious and cheaper than another restaurant the scenery was great its a combination between nature and modern you can look at my photos here Im sorry i dont have the pic of food bcs i forget to take of the pic but this place was serving the food n drink very good Its recommended

Chillin place even when its crowded Defitely must go place to hang out Recommended place for studentyoung people

The place is nice drink and food is delicious Best place for hanging out with friends or families ",0.8500000000000001,0.3902043651942338,0.7120613095582701,7,"serving food, food drink, chillin place, cozy, place family, pic food, cheaper restaurant, foods friendly, place hangout, place highland"
Cokelat Klasik Cafe,ChIJY6gzHEUo1i0RSe1yy-R1ZMo,"Jalan Joyo Agung, Merjosari, Lowokwaru, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, point_of_interest, establishment",4.4,6741,2.0,"A cozy place for hangout with friends and family It will look nicer at evening time when the lights are up Food taste is good but portion is small Numerous choices of food Chocolate beverages are mostly recommended Pricing is ok Moderate service Wifi is available but not so good Spacious parking space

Nice place for family average taste of foods friendly staff but they need to give attention for food equipments glass etc As the place in Highland Time to inhale fresh air here enjoy their green garden and small farm

I like this place because the food and drink was delicious and cheaper than another restaurant the scenery was great its a combination between nature and modern you can look at my photos here Im sorry i dont have the pic of food bcs i forget to take of the pic but this place was serving the food n drink very good Its recommended

Chillin place even when its crowded Defitely must go place to hang out Recommended place for studentyoung people

The place is nice drink and food is delicious Best place for hanging out with friends or families ",0.8500000000000001,0.3902043651942338,0.7120613095582701,8,"serving food, food drink, chillin place, cozy, place family, pic food, cheaper restaurant, foods friendly, place hangout, place highland"
Bukit Delight,ChIJc_EJB9_X1y0R6CMebQRmyws,"Jl. Joyo Agung No.1, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","restaurant, cafe, store, point_of_interest, food, establishment",4.5,5334,2.0,"A romantic cafe with indoors and outdoor designed location located on the hill near bukit tidar residence Varieties of drinks from coffee gelatos tea vanilla Snacks and food available too On top of that there are varieties of games to play like UNO and also Billiard Youll be given a half hour to play if your order surpassed 100k just directly ask the cashier youll leave your ktp and being given the necessities

Cozy place for millenials food taste were range from 2 to 4 stars slow response service Bunga Telang Tea was good

If you want to bring your family or just hanging out with your friends but you have tight budget this place may be suitable with your pocket It offers warm and pleasant ambience a selected amount of light dishes and affordable price It comes to my astonishment that they offer a quite tasty meal but cheaper than any other restaurants or cafes Good job

nice place you can get fresh air n good view there Recomended place for hangout with friends or couple to spend time in afternoon There are some less tasty foods and beverage in my opinion like you know sausages in noodle menu and traditional drinks rempahrempah the taste less goodbut over all is okay

Very cozy and instagramable place I guess mostly Kera ngalam Malangs youth people knowed this place because i got the recommendation from my friend in Malang

The place are very big and wide Its near from UMM Universitas Muhammadiyah Malang campus Theres outdoorindoor suite room For you who loves nature vibes the outside suite room is really high recommended to chosen

For the menu there are a lot of food and beverages popular menu such as Pisang Gigit Roti Bakar Hot Chocolate Coffe beer I like the Kapiten Coffe Beer you can drunk that beverages safety because its 0 alcohol even using beer as the mixed beverages with coffe The taste is delicious also

I gave 5 star without doubtfull and i highly recommended you guys to visit this place with your friend for hangin out when youre visiting Malang City",0.875,0.3087477566143692,0.7051243269843107,9,"foods beverage, beverages popular, tasty meal, necessities cozy, near bukit, cheaper restaurants, bukit, bukit tidar, recomended place, cafe indoors"
Bukit Delight,ChIJi3i9ALBXeC4R1-WjXJKAQbM,"Jl. Joyo Agung No.1, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","restaurant, cafe, store, food, point_of_interest, establishment",4.5,5334,2.0,"A romantic cafe with indoors and outdoor designed location located on the hill near bukit tidar residence Varieties of drinks from coffee gelatos tea vanilla Snacks and food available too On top of that there are varieties of games to play like UNO and also Billiard Youll be given a half hour to play if your order surpassed 100k just directly ask the cashier youll leave your ktp and being given the necessities

Cozy place for millenials food taste were range from 2 to 4 stars slow response service Bunga Telang Tea was good

If you want to bring your family or just hanging out with your friends but you have tight budget this place may be suitable with your pocket It offers warm and pleasant ambience a selected amount of light dishes and affordable price It comes to my astonishment that they offer a quite tasty meal but cheaper than any other restaurants or cafes Good job

nice place you can get fresh air n good view there Recomended place for hangout with friends or couple to spend time in afternoon There are some less tasty foods and beverage in my opinion like you know sausages in noodle menu and traditional drinks rempahrempah the taste less goodbut over all is okay

Very cozy and instagramable place I guess mostly Kera ngalam Malangs youth people knowed this place because i got the recommendation from my friend in Malang

The place are very big and wide Its near from UMM Universitas Muhammadiyah Malang campus Theres outdoorindoor suite room For you who loves nature vibes the outside suite room is really high recommended to chosen

For the menu there are a lot of food and beverages popular menu such as Pisang Gigit Roti Bakar Hot Chocolate Coffe beer I like the Kapiten Coffe Beer you can drunk that beverages safety because its 0 alcohol even using beer as the mixed beverages with coffe The taste is delicious also

I gave 5 star without doubtfull and i highly recommended you guys to visit this place with your friend for hangin out when youre visiting Malang City",0.875,0.3087477566143692,0.7051243269843107,10,"foods beverage, beverages popular, tasty meal, necessities cozy, near bukit, cheaper restaurants, bukit, bukit tidar, recomended place, cafe indoors"
