Word,Count
coffee,1092
place,1006
menu,751
cafe,718
wifi,564
affordable,548
comfortable,518
cozy,489
friendly,442
good,378
cheap,355
prices,341
really,340
delicious,318
malang,275
nice,259
great,253
enjoy,242
atmosphere,231
ambience,224
shop,212
recommended,210
especially,207
service,206
drinks,204
menus,196
hangout,186
try,185
price,183
drink,180
cool,178
parking,165
ok,155
like,149
hang,145
rice,134
food,129
definitely,123
maybe,120
taste,115
warkop,99
students,96
relaxing,88
noodles,85
strategic,85
hanging,84
visit,83
fun,82
snacks,82
fresh,81
stmj,81
bad,81
tea,79
quality,76
area,74
best,74
average,73
restaurant,71
coffe,70
just,69
expensive,69
view,68
vibes,66
tasty,65
kopi,65
recommend,65
dont,64
batu,64
relax,63
suitable,61
spacious,61
beverages,60
indoor,60
crowded,60
concept,59
joss,59
cafes,58
available,58
assignments,58
surabaya,57
unique,56
sweet,54
city,53
free,53
ice,53
sure,52
worth,52
theres,52
okay,51
awesome,49
traditional,48
chicken,48
tables,47
havent,47
reasonable,46
foods,46
music,46
friends,46
tastes,46
noisy,45
tofu,45
chill,45
night,45
karaoke,45
decent,45
noodle,43
interesting,43
boarding,43
special,43
excellent,43
plus,42
eat,42
quite,41
serve,41
variants,41
table,41
bring,40
yummy,40
sip,40
indonesian,40
ambiance,39
sambal,39
near,39
jalan,39
beautiful,39
varied,39
doesnt,39
order,39
pretty,38
location,38
staff,38
iced,38
recomended,37
vibe,37
latte,37
hopefully,37
owner,37
family,36
nongki,36
places,35
open,35
right,35
javanese,34
chocolate,34
various,34
geprek,33
motorbike,33
thank,33
thats,33
employees,33
young,33
small,33
toast,33
satay,33
standard,33
instagramable,32
angkringan,32
matcha,32
student,32
ready,32
weather,32
cashier,32
motorbikes,31
sit,31
town,31
pocketfriendly,31
milk,31
meatballs,31
people,31
isnt,30
boba,30
snack,30
gathering,30
fried,30
know,30
mosque,30
healthy,30
suggest,29
stalls,29
clean,29
closed,29
juice,29
nasi,28
choco,28
waiters,28
robusta,28
safe,28
facilities,28
visitors,28
opinion,27
coffeeshop,27
play,27
chat,27
come,27
mall,27
hotel,27
stall,27
children,26
barista,26
wasnt,26
indonesia,26
roadside,26
seller,26
fast,26
home,26
customers,25
cleanliness,25
contemporary,25
btw,25
signature,25
steady,25
spicy,25
packaging,24
lovely,24
types,24
didnt,24
java,24
seating,24
recommendation,24
minimalist,24
arabica,24
stop,24
kinds,24
hours,24
offered,24
enjoying,23
provide,23
rooftop,23
local,23
buy,23
thai,23
located,23
green,23
ginger,23
lots,23
choices,23
time,23
provides,23
kediri,23
pricey,22
hospitality,22
space,22
visiting,22
need,22
drinking,22
humble,22
hehe,22
stay,22
yes,22
online,22
relaxed,22
far,22
usually,22
saturday,22
10k,21
malioboro,21
laptop,21
friend,21
meet,21
normal,21
grilled,21
village,21
real,21
lunch,21
jogja,21
little,20
mas,20
chatting,20
bro,20
sugar,20
dishes,20
wedang,20
gofood,20
variety,20
pekalongan,20
cappuccino,20
kinda,20
campus,19
fields,19
nya,19
prayer,19
hehehe,19
culinary,19
house,19
wow,19
opened,19
durian,19
serving,19
spend,19
bali,18
add,18
aesthetic,18
hidden,18
recomend,18
americano,18
blora,18
convenient,18
avocado,18
eggs,18
wide,18
ojol,18
pecel,18
hot,18
satisfied,18
live,18
hangouts,18
afternoon,18
thousand,18
sorry,18
east,18
mayan,18
shame,18
meals,17
weekend,17
success,17
recommendations,17
susu,17
15k,17
ive,17
warm,17
pocket,17
highway,17
bananas,17
experience,17
josss,17
day,17
seats,17
services,17
simple,17
nobar,17
street,17
indomie,17
vietnam,17
bread,16
pockets,16
dumplings,16
served,16
make,16
wont,16
complete,16
cold,16
easy,16
vintage,16
waiter,16
diverse,15
views,15
review,15
offer,15
road,15
espresso,15
unfortunately,15
shops,15
love,15
comfort,15
satisfying,15
kane,15
coffees,15
flavors,15
gojek,15
makes,15
perfect,15
floor,15
theyre,15
overpriced,15
soto,14
1010,14
portions,14
feel,14
amazing,14
jos,14
santuy,14
sitting,14
orders,14
morning,14
savory,14
park,14
offers,14
conditioner,14
improved,14
cost,14
mojokerto,14
motorcycle,13
application,13
bland,13
gem,13
donuts,13
floors,13
salad,13
ingredients,13
serene,13
hazelnut,13
promo,13
warung,13
welcoming,13
noncoffee,13
mie,13
guaranteed,13
charging,13
vegetables,13
toilet,13
pool,13
added,13
break,13
modern,13
different,13
legend,13
handsome,13
palm,13
subscribe,13
lesehan,13
ordered,13
waiting,13
fries,13
homey,13
overall,13
busy,13
calm,13
quiet,13
access,13
smokers,13
10000,13
beverage,13
comfy,12
cofee,12
cheaper,12
temperature,12
starbucks,12
range,12
cireng,12
enjoyed,12
brew,12
neat,12
baristas,12
natural,12
meetings,12
presentation,12
seasoning,12
accompany,12
according,12
favorite,12
meeting,12
bought,12
youre,12
legendary,12
casual,12
terrace,12
typical,12
hygienic,12
sawojajar,12
sold,12
spot,12
lacking,12
staffs,12
spices,12
better,12
raining,11
garden,11
musholla,11
visited,11
resto,11
bgt,11
hahaha,11
kedai,11
burger,11
spring,11
kepanjen,11
hope,11
train,11
connoisseurs,11
poll,11
wes,11
alley,11
want,11
happy,11
sipp,11
smoking,11
new,11
areas,11
station,11
coconut,11
opening,11
pasuruan,11
klaten,11
branch,11
sunset,11
caffe,11
playlist,11
takeaway,11
outdoor,11
downside,10
haha,10
weekdays,10
say,10
sauce,10
gopay,10
cream,10
talk,10
inferior,10
pandemic,10
qr,10
satisfactory,10
airconditioned,10
ordinary,10
mantul,10
cheapest,10
pol,10
mantap,10
greetings,10
classic,10
variant,10
black,10
feels,10
im,10
kind,10
variations,10
costs,10
economical,10
pond,10
immediately,10
herbal,10
bitter,10
pandaan,10
nan,10
providing,10
murmer,10
caramel,10
rawon,10
looking,10
markotop,10
mosquitoes,10
halal,10
wait,10
origin,10
lah,10
cute,10
jumbo,10
river,10
speed,10
long,10
lamongan,10
improvement,10
pujon,9
enak,9
pancong,9
specialty,9
lets,9
yesterday,9
center,9
singosari,9
billiards,9
mini,9
lychee,9
taro,9
drawback,9
tree,9
boss,9
having,9
pleasant,9
highly,9
plugs,9
mango,9
spiciness,9
refreshing,9
gaming,9
breakfast,9
story,9
sweetness,9
kongkow,9
romantic,9
original,9
sis,9
populist,9
lawang,9
toppings,9
housing,9
guys,9
sell,9
crispy,9
tongue,9
soup,9
portion,9
strong,9
tempat,9
disappoint,9
dish,9
base,9
wenak,9
luck,9
needs,9
super,9
point,9
business,9
away,9
jakarta,9
study,9
decoration,9
goreng,9
thankyou,9
toilets,9
queue,9
qris,9
steak,9
market,9
interior,9
store,9
lack,9
debit,9
expectation,9
fav,9
gelato,9
upgrade,8
alhamdulillah,8
compared,8
coming,8
idr,8
lucky,8
croissant,8
preference,8
polite,8
authentic,8
syrup,8
crowds,8
pray,8
sidoarjo,8
crunchy,8
promos,8
healing,8
vape,8
jam,8
old,8
addicted,8
chilling,8
work,8
start,8
cake,8
