Name,Place ID,Formatted Address,Category,rating,total_reviews,Price Level,Review Text
Car wash-18,ChIJ_____zof1i0R0pN99I8cz4Q,"Jl. Citarum No.18, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia","cafe, food, point_of_interest, establishment",5,2,,"Clean and cheap

"
PW (Padhasaran Wedhangan),ChIJ____QJuCeC4RrN8DGvbIOIg,"Jl. Simpang Gajayana No.19, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, point_of_interest, establishment",4.6,106,,"Nice place

Comfortable and always makes me remember my hometown, I often come here for work or just ha ha hi hi, the waiters are also friendly, oh there's something special about this caffee, the waiter always makes blank, maybe one of the characteristics of this cafe.

The place is unique.
Javanese traditional theme. Same with the name.

It's convenient to do assignments here because there are plenty of seats on the back and comfortable.
Cool place.

The price is cheap, but the taste is not suitable for me. Hehehe..

But when it comes to coffee, jos crashes here.
And also here, God willing, everyone understands coffee.
Ha ha ha..

The place is comfortable, for santuuy.
Like the original iced coffee milk, red Velvet.
Mojitonya also delicious, segeer.

The wedang jancur makes the body warm.
Fried plantains are very delicious. Curious about the recipe 😁

The place is nice and comfortable. Miniature Jogja in Malang . The toilet is clean. Laughing mosque.

Those who want to try coffee plus charcoal, here you can really do it. But keep in mind that here it's only cash only."
Ngafe aja,ChIJ__-e3nWCeC4R2kWiBRja-_M,"Jl. MT. Haryono No.112a, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, point_of_interest, store, food, establishment",3.1,9,,"This cafe plays music so loud that it disturbs my sleep. One environment can hear the bass sound, up to half a km. We had to hear the bass until 12pm most nights. Please lower the bass, there are a lot of people who need to sleep, they have to get up early for work. Thank you

The one above is not comfortable, the way it cooks is bar bar, it seems noisy

Now there is Chinese food here, so you can eat while drinking coffee. The Chinese food is also really good, coincidentally got a promo price

Coffee, your food, music, Malang city

"
Angkringan Sego Obong,ChIJ_05mCLkp1i0RGXfpNm7YDT0,"Jl. Laksda Adi Sucipto No.326, Pandanwangi, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia","cafe, food, store, point_of_interest, establishment",4.8,10,,"The first time I tried it and it tasted great, the sego obong tasted great, especially when it was burnt, it made the sego obong taste even better. The puncture is also cheap, just starting for 2k. The seller is also very friendly, really understands customer service and wishes.

wenak lurr must try

The place is nice, comfortable to chat with friends who sell very friendly. Top anyway

Delicious and lots of experience if you eat at the place.

Weak..👍regone cheap..tempte relaxed...pnjuale always smile..😄"
"Kopi Perempat (es kopi, tubruk kopi)",ChIJ_0dtc8op1i0Rz9SRlnTQHKs,"Jl. Semeru No.16, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia","cafe, food, point_of_interest, store, establishment",4.9,8,,"Good, friendly, like to give discounts..

Cheap prices, original goods





"
Kopi SamJo,ChIJ_1J_WjMkcC4RmFqCuD9SqQE,"Jl. Puncak Mandala No.19-31, Pisang Candi, Kec. Sukun, Kota Malang, Jawa Timur 65146, Indonesia","cafe, food, point_of_interest, establishment",4.5,2,,"Pretty good

"
STMJ Ketan Hulk,ChIJ_1wmMiZYei4R_JXGmH1Wwrk,"Jl. Ikan Piranha Atas No.9, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, food, point_of_interest, store, establishment",5,1,,
Aladin Boba Shakes And Brew - Malang,ChIJ_22HcCQp1i0R-gTDLIBwQX4,"Jl. MT. Haryono No.79, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, point_of_interest, food, establishment",5,51,,"Choco silverqueen + cheese cream + boba mantabb 👍👍👍

good service I like it, in terms of taste I really like it

Cheap and delicious, all affordable, on the side of a major road, the price is suitable for students. You can also hang out while watching UB's walking activities.

really good woyyy!! where is it cheap? Mom, I'm addicted to it hahaha.. If you're at home, the mainstay of the Aladin menu is boba fresh milk. Its advantages besides being cheap, if it doesn't run out, you can put it in the refrigerator again and the plus point is that even though the boba is still chewy until tomorrow! the location is in front of the UB, which is Mt Haryono, if you're coming from the McD direction, go left. you have to be slow"" look for it because it's a bit narrow. but don't worry because the color of the shop is green, so it's definitely visible.

The taste is really authentic where the prices are also friendly again. The place is relatively quiet and comfortable"
NyumNyum Malang,ChIJ_2SUQuyDeC4RsbgN6m4dSfA,"Jalan Mayjen Sungkono Puri Cempaka Putih 2 Blok AZ 26 Bumiayu Kedungkandang, Bumiayu, Kec. Kedungkandang, Kota Malang, Jawa Timur 65135, Indonesia","cafe, point_of_interest, food, establishment",4.1,10,,"Great brew coffee shop. The place is simple, just home. However, the coffee is great. Grinded and brewed when ordered, so fresh. Provides a variety of coffee to choose from
The owner is super friendly, and makes you feel at home. Not only providing coffee, but also quality chat
Location in housing, relatively easy to find. The manager also offers on the spot coffee services, which can be called to the customer's location

Legendary Snacks

Really yum yum dech



"
Bureau Coffee & Dine,ChIJ_2Sz2g4p1i0RVoltFGZ2uJs,"Lt. 2, Sch Malang, Jl. Soekarno - Hatta No.509, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, point_of_interest, store, food, establishment",4.5,1662,2,"The place is located on the 2nd floor of Sch. It has smoking and non-smoking area. It’s neat and cozy, that kind of place you could spend your time for chit-chatting or doing your work/thesis. It provides most of western foods and some of asian’s. It also serve snacks, pastries and bakeries for you to munch around. The staffs are good and helpful, the toilet is clean, and the prayer’s room is neat and clean (it provides a very fragrant prayer’s mat and prayer’s set).

My favorite beverage from this cafe is Milkshake. I didn't find a matcha milkshake for this cafe. When I was a college student, this cafe was always crowded but cozy and quiet.

I recommended Work From Cafe in this place. This cafe must maintain the furniture and interior, but for the taste always be lovely, for waitpersons must smile and be friendly to the customer. BTW, this cafe must pay attention to the plating.

Nice and cozy place and they have smoking (outdoor) and non-smoking (indoor) areas separated. Free Wi-fi and power outlets are available. I think the number of the tables is a little bit small, not surprising because the place is not big. Nevertheless, with the right and nice interiors and light, it feels spacious enough. They apply the new normal protocol so we found that some tables are not in used. I think the chair could be imrpoved, though. I certainly like it if it more comfortable, especially if I want to do my work in the place.
We tried the apple pie, which is part of the pastries displayed at the front counter. It was scrumptious, with the perfect crispy, flaky dough and the right sweetness and sourness of the apple filling. The caesar salad comes as a combination of lettuces, generous amount of grilled chicken, and a slice of garlic bread but with different dressing than the usual yellow caesar dressing I used to know. It uses some kind of mayonnaise combined with certain herbs and spices I think? Kinda tasted the parsley in the dressing somehow. It tasted nice and fresh.
The salted spicy tofu is good, although I prefer mine to be a little bit more salty. It comes with a separate sauce made of sweet soy sauce and chili flakes. The vegetables cream soup tasted good but the texture is somehow quite thick, reminds me of a very thick porridge instead of soup. They're certainly generous with the amount of the vegetables, however.
The chocolate+milk is quite nice, while the iced lemon tea is proved to be a hit for me (definitely want to order it again!). We're lucky enough to get a free ice cream waffle with minimum 100K rupiahs purchase (choose between chocolate, strawberry, or banana one). The strawberry waffle comes with strawberry ice cream, strawberry slices, strawberry jam, and whipped cream that I found very rare used in the waffle sold here in the city. The offer will last until the end of August, by the way.

This place is cozy and classy. You can see yellowish color across the room, so it makes you hungry as soon as you enter the room and almost don't wanna leave it :)) but, if you want to sit comfortably, you may come at afternoon or evening here since this place is too crowded at night. Don't worry about the food and beverages quality, 5 stars are for all menu. Standing applause!

Matcha, Big French Stick, Caramel Macchiato. Cozy and unforgettable place."
