Word,Count
place,2401
coffee,2263
good,893
food,649
nan,645
nice,615
delicious,594
comfortable,579
cafe,508
cozy,476
menu,440
great,427
taste,427
affordable,393
friendly,386
price,386
drinks,376
cheap,345
prices,345
really,338
wifi,312
service,304
malang,293
drink,292
recommended,274
shop,213
hangout,179
suitable,168
tea,163
cool,161
like,160
best,154
rice,154
parking,146
location,143
atmosphere,137
hang,137
milk,136
stmj,128
free,125
try,121
friends,121
ok,110
snacks,110
ice,109
clean,105
area,104
chicken,102
menus,102
enjoy,101
noodles,101
coffe,100
ambience,97
relaxing,95
spacious,94
tastes,92
fresh,88
fun,84
music,84
quite,83
just,79
eat,79
chocolate,79
crowded,79
city,78
iced,76
beverages,75
visit,75
order,72
buy,71
fast,70
indonesian,70
restaurant,68
indoor,68
recommend,67
make,67
cafes,65
fried,65
perfect,64
bad,64
hanging,63
available,62
dont,61
road,61
love,60
located,59
view,59
near,58
want,58
places,57
relax,57
people,56
especially,56
barista,55
foods,55
quality,54
unique,54
simple,54
worth,53
students,53
tasty,52
quiet,52
latte,52
work,51
joss,49
lots,49
home,49
different,49
right,49
traditional,49
time,49
open,48
coffees,47
various,47
night,47
ordered,46
variants,46
special,46
drinking,46
kopi,45
pretty,45
expensive,45
come,44
toast,43
cheese,42
okay,42
hot,42
outdoor,41
owner,41
snack,41
spicy,41
favorite,40
baristas,40
live,40
beautiful,39
strategic,39
varied,39
small,39
town,38
ginger,38
new,38
variety,38
easy,38
juice,38
beverage,37
sauce,37
boba,37
house,37
room,37
awesome,37
choices,36
brew,36
chat,36
facilities,36
warkop,36
family,35
coffeeshop,35
noncoffee,35
theres,35
javanese,35
standard,35
serving,34
street,34
makes,34
staff,34
customers,34
local,33
gathering,33
sweet,33
excellent,33
chill,32
isnt,32
prayer,32
satay,32
student,32
doesnt,31
waiters,31
meatballs,31
definitely,31
noodle,31
cup,30
fruit,30
cold,30
served,30
better,30
closed,30
jalan,30
provides,30
vibes,30
hospitality,29
boarding,29
tofu,29
banana,29
feels,29
lot,29
floor,29
choco,28
matcha,28
steady,28
play,28
rooftop,28
angkringan,28
healthy,28
reasonable,28
decent,28
beans,28
geprek,27
nongki,27
yes,27
eggs,27
pocket,27
meeting,27
cappuccino,27
spot,27
espresso,26
selling,26
stall,26
vibe,25
tried,25
feel,25
amazing,25
original,25
green,25
stop,25
grilled,25
morning,25
seller,25
table,25
looking,25
sell,25
recommendation,24
gofood,24
sip,24
children,24
flavors,24
dishes,24
comfort,24
spices,24
culinary,24
relaxed,24
black,24
toppings,24
bread,24
kinds,24
customer,24
caffe,24
yummy,23
shops,23
pocketfriendly,23
burger,23
safe,23
toilets,23
complete,23
chatting,23
bro,23
guys,23
highly,23
egg,23
pecel,23
bananas,23
campus,23
seats,23
indonesia,23
need,23
experience,22
thai,22
sambal,22
business,22
know,22
sugar,22
jogja,22
smooth,22
sawojajar,22
young,22
employees,22
concept,22
recomended,21
comfy,21
cream,21
toilet,21
avocado,21
village,21
mosque,21
karaoke,21
typical,21
arabica,21
noisy,21
types,20
robusta,20
mas,20
dessert,20
super,20
natural,20
pockets,20
waiting,20
roadside,20
strong,20
terrace,20
close,20
serve,20
bit,20
interior,20
cake,19
soft,19
garden,19
interesting,19
online,19
real,19
hotel,19
thank,19
inside,19
cashier,19
design,19
durian,19
calm,18
meetings,18
meet,18
guaranteed,18
long,18
satisfying,18
lunch,18
caramel,18
meals,18
mayan,18
spend,18
space,18
variant,17
crispy,17
brewed,17
starbucks,17
according,17
stalls,17
opinion,17
smoking,17
motorbike,17
use,17
bring,17
strawberry,17
think,17
water,17
origin,17
tasted,17
promo,16
salad,16
day,16
warung,16
low,16
lovers,16
friend,16
services,16
sing,16
hours,16
plus,16
dish,16
grab,16
visitors,16
caf,16
visiting,16
normal,16
brewing,15
choice,15
cooking,15
coconut,15
topping,15
java,15
bathroom,15
thats,15
kind,15
pizza,15
eating,15
afternoon,15
waiter,15
soup,15
overall,15
park,15
portions,15
corn,15
aesthetic,15
outside,15
laptop,15
pujon,14
compared,14
convenient,14
luck,14
success,14
hope,14
pol,14
pool,14
break,14
hehe,14
large,14
sitting,14
shame,14
fries,14
sticky,14
enjoying,14
car,14
community,14
used,14
indomie,14
access,14
east,14
outlet,14
looks,14
dining,14
speed,14
rooms,13
authentic,13
hospital,13
old,13
blend,13
recommendations,13
mall,13
mango,13
jelly,13
relatively,13
contemporary,13
gatherings,13
market,13
cute,13
warm,13
building,13
main,13
busy,13
turen,13
honey,13
store,13
talk,13
instagramable,13
beef,12
burgers,12
immediately,12
using,12
slow,12
chairs,12
hazelnut,12
weather,12
refreshing,12
scenery,12
products,12
casual,12
fish,12
subscription,12
wow,12
options,12
sellers,12
vegetables,12
grass,12
environment,12
mixed,12
wedang,12
nasi,12
jakarta,12
seating,12
cakes,12
needs,12
subscribe,12
average,12
provided,12
soto,12
big,11
dumplings,11
style,11
lets,11
ordinary,11
assignments,11
handsome,11
fav,11
poor,11
games,11
classic,11
breakfast,11
ojol,11
station,11
kane,11
look,11
gas,11
creamy,11
cleanliness,11
lesehan,11
satisfied,11
murmer,11
hangouts,11
vintage,11
donuts,11
choose,11
packaging,11
wait,11
portion,11
study,11
resto,11
vape,11
train,11
review,11
begawan,11
far,11
improved,11
red,11
ask,11
seat,11
im,11
soekarno,11
improve,11
meal,10
japanese,10
actually,10
lovely,10
greentea,10
minimalist,10
processed,10
homey,10
singosari,10
offered,10
unfortunately,10
connoisseurs,10
seasoning,10
cat,10
thirst,10
hidden,10
said,10
gojek,10
oh,10
lawang,10
ingredients,10
high,10
sit,10
usually,10
powder,10
college,10
josss,10
evening,10
ready,10
decor,10
playing,10
game,10
halal,10
juices,10
internet,10
add,10
little,10
selection,10
floors,10
second,10
rest,10
americano,10
weekend,10
serves,10
kids,9
cheaper,9
visited,9
fivestar,9
nya,9
regular,9
seblak,9
working,9
kedai,9
having,9
crunchy,9
modern,9
lively,9
24,9
views,9
boss,9
sells,9
suggestion,9
buying,9
throat,9
wes,9
santuy,9
making,9
solid,9
tree,9
corner,9
kongkow,9
herbs,9
fine,9
say,9
level,9
sis,9
gg,9
herbal,9
nobar,9
inferior,9
hard,9
bar,9
sudimoro,9
crazy,9
idr,9
money,9
single,9
books,9
rujak,9
mother,9
whats,9
vietnam,9
takeaway,9
kayutangan,9
hour,9
cireng,9
application,9
google,9
orders,9
bali,8
honest,8
xixixi,8
shopeepay,8
flavor,8
bag,8
brand,8
arjosari,8
uses,8
orange,8
serene,8
suhat,8
thousand,8
fields,8
doing,8
fair,8
pleasant,8
spiciness,8
hopefully,8
addicting,8
discounts,8
middle,8
waffles,8
costs,8
populist,8
bgt,8
light,8
center,8
bitter,8
jos,8
passing,8
charcoal,8
maybe,8
hygienic,8
continue,8
raining,8
sippp,8
alhamdulillah,8
drivers,8
cook,8
shopping,8
diverse,8
polite,8
bean,8
2nd,8
opening,8
years,8
duck,8
porridge,8
gather,8
gaming,8
trains,8
signature,8
15k,8
means,8
martabak,8
helpful,8
highway,8
visible,8
studio,8
peanut,8
hehehe,8
usual,8
chinese,8
chair,8
bakery,8
brawijaya,7
touch,7
popular,7
recomend,7
nakoa,7
cuisine,7
boiled,7
neat,7
meat,7
lekker,7
raya,7
plants,7
poll,7
likes,7
addicted,7
budget,7
presentation,7
grabfood,7
bounces,7
ive,7
indomaret,7
stars,7
accompany,7
gem,7
man,7
successful,7
starting,7
bloated,7
story,7
trees,7
tobacco,7
kopdar,7
seafood,7
pudding,7
addictive,7
going,7
roasting,7
steak,7
pond,7
lacking,7
jl,7
land,7
ones,7
housing,7
reliable,7
number,7
warmindo,7
uno,7
legendary,7
ages,7
kawi,7
events,7
door,7
miss,7
spring,7
lalapan,7
mandatory,7
wenak,7
variations,7
cigarettes,7
10,7
famous,7
office,7
concoction,7
youre,7
sure,7
stomach,7
taking,7
pay,7
smoke,7
branch,7
ayam,7
start,7
watch,7
river,7
art,7
soon,7
court,7
eatery,7
bought,7
cafestyle,7
sofa,7
group,7
havent,7
susu,7
heart,7
jumbo,7
sipp,7
trip,7
humble,7
mainstay,7
opened,7
instant,7
tables,7
provide,7
came,7
employee,7
hatta,7
shisha,7
bubbles,7
public,7
gelato,7
collect,7
sawah,6
aceh,6
request,6
tropical,6
caffeine,6
hair,6
grill,6
3000,6
dampit,6
bathrooms,6
cheapest,6
share,6
life,6
change,6
recommends,6
tasting,6
cash,6
glass,6
cookies,6
basecamp,6
discussion,6
eaten,6
driver,6
greetings,6
facility,6
soda,6
adequate,6
plugs,6
economical,6
festive,6
savory,6
away,6
rains,6
reach,6
washing,6
transit,6
pancong,6
5k,6
library,6
bowl,6
wasnt,6
snacking,6
motorcycle,6
rain,6
6k,6
wallet,6
kopine,6
fits,6
dawn,6
aroma,6
aeropress,6
dine,6
difficult,6
tumpang,6
mak,6
wide,6
heritage,6
sweetness,6
sensation,6
inexpensive,6
stay,6
arent,6
western,6
lose,6
air,6
loss,6
university,6
god,6
pure,6
810,6
mantap,6
wallets,6
cats,6
suits,6
brantas,6
oreo,6
wrong,6
world,6
milkshake,6
match,6
sold,6
soul,6
ground,6
alley,6
school,6
prefer,6
way,6
pasta,6
vapestore,6
garlic,6
based,6
went,6
motorbikes,6
korean,6
football,6
teenagers,6
course,6
offers,6
billiards,6
range,6
jaya,6
batu,6
favourite,6
jiwa,6
nusantara,6
nicee,6
cramped,6
taro,6
intestines,6
lumayan,6
delivery,6
pricing,6
pricey,6
happy,6
legend,6
angsle,6
musholla,6
cofee,6
merjosari,6
equipped,5
restaurants,5
noise,5
combination,5
spice,5
manual,5
crowd,5
ub,5
satisfactory,5
fruits,5
star,5
fatigue,5
cooked,5
vanilla,5
skin,5
knowledge,5
turkish,5
glasses,5
banter,5
photos,5
impression,5
added,5
bus,5
surabaya,5
drank,5
date,5
fan,5
residents,5
inspiration,5
josh,5
mr,5
peach,5
palm,5
party,5
wants,5
jossss,5
welcoming,5
non,5
seeds,5
finished,5
superb,5
limited,5
partner,5
champion,5
kitchen,5
tongue,5
management,5
alternative,5
importantly,5
sausage,5
days,5
resting,5
weak,5
photo,5
hunting,5
billiard,5
choosing,5
adults,5
believe,5
blended,5
coming,5
year,5
premium,5
cak,5
relaxation,5
rolls,5
classy,5
brown,5
rawon,5
plug,5
sachet,5
pm,5
blue,5
100,5
glutinous,5
stingy,5
times,5
easily,5
private,5
salted,5
markotop,5
pempek,5
tourist,5
care,5
steamed,5
19,5
7k,5
lemon,5
absolutely,5
roasted,5
enak,5
banget,5
smell,5
lah,5
advice,5
luxurious,5
pastry,5
collection,5
sunset,5
ordering,5
chess,5
antique,5
mandala,5
buyers,5
goat,5
read,5
wedding,5
kuy,5
enjoyable,5
health,5
cheerful,5
combined,5
innovation,5
croissant,5
type,5
pak,5
overpriced,5
staffs,5
condition,5
araya,5
pentol,5
surrounding,5
providing,5
bland,5
sound,5
waitress,5
lack,5
kediri,5
gado2,5
mom,5
dogs,5
job,5
downtown,5
fancy,5
janji,5
seatings,5
chilling,5
turned,5
romantic,5
cost,5
stove,5
enjoyment,5
receipt,5
sorry,5
simply,5
bakmi,5
bartender,5
archipelago,5
contact,5
mediocre,5
siguragura,5
lpg,5
heavy,5
villa,4
chillin,4
silence,4
sunday,4
french,4
croissants,4
replace,4
ngopi,4
mantab,4
person,4
promos,4
mountain,4
jam,4
elegant,4
gaess,4
joosss,4
konco,4
taxi,4
end,4
solution,4
ppkm,4
selfies,4
nyaman,4
crowds,4
rum,4
hurt,4
distinctive,4
transportation,4
eyes,4
es,4
vendors,4
straight,4
eco,4
yakult,4
healing,4
fit,4
stone,4
mantaap,4
canned,4
mantabb,4
product,4
aunts,4
muharto,4
satays,4
mba,4
toasted,4
bridge,4
arrive,4
comfortablethe,4
point,4
sleep,4
jan,4
proven,4
youth,4
cilok,4
soooo,4
dangdut,4
petis,4
areas,4
electric,4
difference,4
mlg,4
bromo,4
fans,4
jayalah,4
priced,4
loyal,4
potato,4
process,4
chili,4
class,4
spots,4
charge,4
preservatives,4
washed,4
book,4
hotels,4
nostalgic,4
content,4
pc,4
hustle,4
intersection,4
v60,4
mini,4
nongky,4
variation,4
lazy,4
plentiful,4
attractions,4
1000,4
included,4
restroom,4
uwuh,4
bike,4
tempeh,4
tuna,4
considered,4
coffeeshops,4
sharing,4
teas,4
rail,4
vehicles,4
dutch,4
nuance,4
today,4
beer,4
coffeebased,4
reading,4
travel,4
maam,4
rokupang,4
mbois,4
recipe,4
baso,4
roast,4
balcony,4
memories,4
ntapss,4
brands,4
regency,4
ropang,4
patty,4
bone,4
almond,4
edge,4
hunger,4
oriental,4
package,4
contents,4
preparations,4
10000,4
mantapppppp,4
moment,4
starts,4
tidy,4
drip,4
worry,4
plain,4
bakar,4
card,4
20k,4
does,4
conversation,4
camp,4
base,4
destination,4
japan,4
unitri,4
uncomfortable,4
cozzy,4
ps3,4
legit,4
medicine,4
ete,4
shopeefood,4
katsu,4
wfc,4
bbq,4
winner,4
potatoes,4
left,4
nyus,4
sego,4
burnt,4
anymore,4
18k,4
future,4
passss,4
lop,4
arema,4
annual,4
meaning,4
value,4
specialty,4
btw,4
scandinavian,4
loud,4
offer,4
nearby,4
rempah,4
clear,4
member,4
reports,4
blimbing,4
cigarette,4
mushola,4
reunions,4
tavern,4
wonton,4
ronde,4
padang,4
mount,4
turns,4
macaroni,4
daily,4
sizes,4
charging,4
frozen,4
spending,4
enviroment,4
mix,4
luwe,4
ambiance,4
field,4
hygiene,4
surroundings,4
mobile,4
45,4
sore,4
haircut,4
coffeenensis,4
mie,4
sweetener,4
dude,4
takes,4
round,4
cutlery,4
registered,4
luxury,4
vehicle,4
north,4
sandwich,4
dinner,4
flavours,4
drop,4
3kg,4
mozzarella,4
runs,4
stairs,4
gocar,4
yum,4
friendliness,4
highland,3
bukit,3
tidar,3
indoors,3
speciality,3
alert,3
macchiato,3
passion,3
ovo,3
gopay,3
syrup,3
balanced,3
kuma,3
selalu,3
mt,3
seblaknya,3
coffeecreamer,3
barber,3
queuing,3
pandemic,3
tender,3
bay,3
pop,3
abundant,3
shake,3
hurry,3
fave,3
ps,3
colorful,3
